T3_KR_KISTI	T3_KR_KISTI	KISTI_CMS_T3_CE	cms-sejong.sdfarm.kr	0	NULL
T3_KR_KISTI	T3_KR_KISTI	KISTI_CMS_T3_SE	cms-se.sdfarm.kr	0	NULL
KISTI-NSDC	KISTI-NSDC-01	KISTI-NSDC-CE03	ce03.sdfarm.kr	NULL	NULL
KISTI-NSDC	KISTI-NSDC-01	KISTI-NSDC-GUMS	gums.sdfarm.kr	NULL	NULL
LBL_ESnet	LBL_Testbed	LBL_nettest	nettest.lbl.gov	NULL	NULL
LBNL	LBNL_DSD_ITB	LBNL_DSD_ITB	grolsch.lbl.gov	NULL	NULL
LBNL	LBNL_VTB	LBNL_VTB	osp1.lbl.gov	0	NULL
Livermore Computing	LC-glcc	LC-glcc	glcc88.ucllnl.org	15.68	US-LLNL-ALICE
Lehigh Coral	Lehigh_coral	Lehigh_coral	piranha.ie.lehigh.edu	NULL	NULL
GLOW	GLOW	Lehigh_piranha	piranha.ie.lehigh.edu	NULL	NULL
Brookhaven ATLAS Tier1	BNL-ATLAS	lhcmon-bnl	lhcmon.bnl.gov	NULL	NULL
Brookhaven ATLAS Tier1	BNL-ATLAS	lhcperfmon-bnl	lhcperfmon.bnl.gov	NULL	NULL
Caltech LIGO	LIGO-CIT-ITB	LIGO_CIT	osg-ce.ligo.caltech.edu	NULL	NULL
Caltech LIGO	LIGO-CIT-ITB	LIGO_CIT_SE	osg-se.ligo.caltech.edu	NULL	NULL
UW Milwaukee Physics	LIGO_UWM_NEMO	LIGO_UWM_NEMO	osg-nemo-ce.phys.uwm.edu	0	NULL
Caltech LIGO	LIGO-CIT-ITB	LIGO-CIT-ITB	osg-itb.ligo.caltech.edu	NULL	NULL
Caltech LIGO	LIGO-CIT-VTB	LIGO-CIT-VTB	osg-vtb.ligo.caltech.edu	NULL	NULL
GOC Staff VM	KAGROSS-GOC	LLAMA-LLAMA-GOC	kagross.grid.iu.edu	NULL	NULL
LONI_LSU	LONI_OSG1	LONI_OSG1	osg1.loni.org	NULL	NULL
LONI_LSU	LONI_OSG2	LONI_OSG2	osg2.loni.org	NULL	NULL
LaTech	LTU_CCT	LTU_CCT	ltu.cct.lsu.edu	NULL	NULL
LaTech	LTU_Tier3	LTU_OSG	caps10.phys.LaTech.edu	NULL	NULL
LaTech	LTU_Tier3	LTU_T3	grid1.hpc.latech.edu	NULL	NULL
LUCCRE	LUCILLE	Lucille_CE	lutgw1.lunet.edu	9.1	US-SWT2
LUCCRE	LUCILLE	Lucille_SE	lutse1.lunet.edu	0	US-SWT2
LU HEP	LUHEP_OSG	LUHEP_OSG	luhepce.lunet.edu	NULL	NULL
LU HEP	LUHEP_OSG	LUHEP_OSG2	elixir.lunet.edu	NULL	NULL
LU HEP	LUHEP_OSG	LUHEP_SE	luhepse.lunet.edu	NULL	NULL
McGill HEP	MCGILL_HEP	MCGILL_HEP	gaia.physics.mcgill.ca	NULL	NULL
MIT CMS	MIT_CMS	MIT_CMS	ce01.cmsaf.mit.edu	10.8	T2_US_MIT
MIT CMS	MIT_CMS	MIT_CMS_2	ce02.cmsaf.mit.edu	0	T2_US_MIT
MIT CMS	MIT_CMS	MIT_CMS_Perfsonar_BW	perfsonar02.cmsaf.mit.edu	NULL	NULL
MIT CMS	MIT_CMS	MIT_CMS_Perfsonar_Latency	perfsonar01.cmsaf.mit.edu	NULL	NULL
MIT CMS T3	MIT_CMS_T3	MIT_CMS_T3-CE1	t3serv007.mit.edu	0	T3_US_MIT
MIT CMS T3	MIT_CMS_T3	MIT_CMS_T3-SE	t3serv006.mit.edu	0	T3_US_MIT
MIT CMS	MIT_CMS	MIT_CMS-SE	se01.cmsaf.mit.edu	0	T2_US_MIT
MSU OSG	MSU-OSG	MSU-OSG	msu-osg.aglt2.org	NULL	NULL
MSU OSG	MSU-OSG_SE	MSU-OSG_SE	msu2.aglt2.org	NULL	NULL
MWT2 ATLAS UC	MWT2	MWT2	osg-gk.mwt2.org	9.56	US-MWT2
MWT2 ATLAS UC	MWT2	MWT2_CE_IU	iut2-gk.mwt2.org	9.48	US-MWT2
MWT2 ATLAS UC	MWT2	MWT2_CE_UC	uct2-gk.mwt2.org	0	US-MWT2
MWT2 ATLAS UC	MWT2	MWT2_CE_UIUC	mwt2-gk.campuscluster.illinois.edu	9.48	US-MWT2
MWT2 ATLAS IU	MWT2_IU	MWT2_IU	iut2-grid6.iu.edu	NULL	NULL
MWT2 ATLAS IU	MWT2_IU	MWT2_IU_SE	iut2-dc1.iu.edu	NULL	NULL
MWT2 ATLAS UC	MWT2_UC	MWT2_UC	uct2-grid6.uchicago.edu	0	US-MWT2
MWT2 ATLAS UC	MWT2	MWT2_UC_SE	uct2-dc1.uchicago.edu	0	US-MWT2
MWT2 ATLAS UC	MWT2_UC	MWT2_X_SE	iut2-grid8.iu.edu	NULL	NULL
IU UITS	MyOSG	MyOSG_1	myosg1.grid.iu.edu	NULL	NULL
IU UITS	MyOSG	MyOSG_2	myosg2.grid.iu.edu	NULL	NULL
High Performance Computing Facility - University of Puerto Rico	UPR_HPCF	Nanobio_CE	nanobioman.hpcf.upr.edu	NULL	NULL
NCSA	NCSA_TUNGSTEN	NCSA_TUNGSTEN	ncsa-ce.ncsa.uiuc.edu	NULL	NULL
Nebraska-CMS	Nebraska	Nebraska	red.unl.edu	10.412	T2_US_Nebraska
Nebraska-CMS	CMS Glidein Systems	Nebraska_glidein_hcc_crabserver	hcc-crabserver.unl.edu	NULL	NULL
NERSC	NERSC-Carver	NERSC-Carver	carvergrid.nersc.gov	NULL	NULL
NERSC	NERSC-Davinci	NERSC-Davinci	davinci.nersc.gov	NULL	NULL
NERSC	NERSC-Franklin	NERSC-Franklin	franklingrid.nersc.gov	NULL	NULL
NERSC	NERSC-ITB	NERSC-ITB	pc1805.nersc.gov	NULL	NULL
NERSC	NERSC-Jacquard	NERSC-Jacquard	jacquardgrid.nersc.gov	NULL	NULL
NERSC	NERSC-PDSF	NERSC-PDSF	pdsfgrid.nersc.gov	16.614	US-LBNL-ALICE
NERSC	NERSC-PDSF	NERSC-PDSF2	pdsfgrid2.nersc.gov	NULL	NULL
NERSC	NERSC-PDSFSRM	NERSC-PDSFDTN	pdsfdtn1.nersc.gov	0	NULL
NERSC	NERSC-PDSFSRM	NERSC-PDSFSRM	pdsfsrm.nersc.gov	NULL	NULL
NERSC	NERSC-PDSFSRM	NERSC-PGSIFTP1	pdsfgsiftp1.nersc.gov	0	NULL
NERSC	NERSC-VM-VTB0	NERSC-VM-VTB0	osp-vtb00.nersc.gov	NULL	NULL
Boston University ATLAS Tier2	BU_ATLAS_Tier2	NET2	atlas-net2.bu.edu	9.82	US-NET2
Harvard University	HU_ATLAS_Tier2	NET2_HU	net2.rc.fas.harvard.edu	9.44	US-NET2
Boston University ATLAS Tier2	NET2	NET2-BU	atlas-hub.bu.edu	NULL	NULL
Boston University ATLAS Tier2	NET2	NET2-HU	net2.rc.fas.harvard.edu	NULL	NULL
T3_US_NEU	T3_US_NEU	NEU T3 cluster	lhct3alv.neu.edu	NULL	NULL
Nevis	Nevis	Nevis	nevis.columbia.edu	NULL	NULL
Nevis	Nevis	Nevis cvmfs squid	xenia.nevis.columbia.edu	0	NULL
Nevis	Nevis	Nevis_gridftp	xenia.nevis.columbia.edu	NULL	NULL
NU Tier3	NU_CMS_TIER3_CE	NU_CMS_TIER3_CE	ttgrid03.ci.northwestern.edu	NULL	NULL
NU Tier3	NU_CMS_TIER3_SE	NU_CMS_TIER3_SE	ttgrid04.ci.northwestern.edu	NULL	NULL
NUMEP-OSG	NUMEP-OSG	NUMEP_CE	numep-grid1.research.northwestern.edu	NULL	NULL
NUMEP-OSG	NUMEP-OSG	NUMEP_SE	numep-grid6.research.northwestern.edu	NULL	NULL
NWICG_NDCMS	NWICG_Earth	NWICG_Earth	earth.crc.nd.edu	0	NULL
NWICG_NDCMS	NWICG_NDCMS	NWICG_NDCCL	condor.crc.nd.edu	0	NULL
NWICG_NDCMS	NWICG_NDCMS	NWICG_NDCMS	ndcms.crc.nd.edu	0	NULL
NWICG_NDCMS	NWICG_NotreDame	NWICG_NotreDame	opteron03.crc.nd.edu	0	NULL
NYSGRID Cornell	NYSGRID_CORNELL_NYS1	NYSGRID_CORNELL_NYS1	nys1.cac.cornell.edu	0	NULL
NYSGRID RIT	NYSGRID_RIT	NYSGRID_RIT	grid.rc.rit.edu	NULL	NULL
NYSGRID_ALBANY	NYSGRID-ALBANY-ATHENA	NYSGRID-ALBANY-ATHENA	athena.rit.albany.edu	0	NULL
NYSGRID Buffalo	NYSGRID-CCR-U2	NYSGRID-CCR-U2	u2-grid.ccr.buffalo.edu	0	NULL
NYSGRID-CUNY-GRID	NYSGRID-CUNY-GRID	NYSGRID-CUNY-GRID	cunygrid.gc.cuny.edu	0	NULL
NYU ATLAS Tier3	NYU-ATLAS	NYU_ATLAS_NFS	t3nfs.physics.nyu.edu	NULL	NULL
IU UITS	OSG Oasis	Oasis	oasis.grid.iu.edu	NULL	NULL
IU UITS	Oasis login nodes	oasis-login	oasis-login.opensciencegrid.org	NULL	NULL
IU UITS	Oasis login nodes	oasis-login-sl6	oasis-login-sl6.opensciencegrid.org	NULL	NULL
NSF	OCI-NSF	OCI-NSF	rocks-fe.cise-nsf.gov	NULL	NULL
LBNL	LBNL_DSD_ITB	oliverlblgov	oliver.lbl.gov	NULL	NULL
ORNL NSTG	ORNL_NSTG	ORNL_NSTG	osg-login.ornl.teragrid.org	NULL	NULL
OSC	OSC_OSG	OSC_OSG_CE	osg.osc.edu	NULL	NULL
OSC	OSC_SuperB	OSC_SuperB_CE	superbvo.osc.edu	NULL	NULL
OSC	OSC_SuperB	OSC_SuperB_gridftp	superbvo.osc.edu	NULL	NULL
IU UITS	OSG blogs	OSG blog	blogs.grid.iu.edu	NULL	NULL
IU UITS	Oasis Replica	OSG Oasis replica	oasis-replica.opensciencegrid.org	NULL	NULL
UChicago	OSG_UChicago	OSG UChicago VO Frontend	ui-gwms.uchicago.edu	NULL	NULL
IU UITS	OSG_Display	OSG_Display_1	display1.grid.iu.edu	NULL	NULL
IU UITS	OSG_DOCDB	OSG_DOCDB_1	osg-docdb.opensciencegrid.org	NULL	NULL
IU UITS	OSG_XD	OSG_FLOCK	osg-flock.grid.iu.edu	NULL	NULL
IU UITS	OSG_Homepage	OSG_Homepage_1	opensciencegrid.org	NULL	NULL
USCMS-FNAL-XEN	OSG_INSTALL_TEST_2	OSG_INSTALL_TEST_2	cms-xen2.fnal.gov	NULL	NULL
MIT LIGO	OSG_LIGO_MIT	OSG_LIGO_GUMS	osg-ligo-gums.mit.edu	NULL	NULL
MIT LIGO	OSG_LIGO_MIT	OSG_LIGO_MIT	osg-ligo.mit.edu	NULL	NULL
PSU LIGO	OSG_LIGO_PSU	OSG_LIGO_PSU	grid3.aset.psu.edu	NULL	NULL
Georgia State University Research Computing	OSG_TEST_CE	OSG_TEST_CE	osgtestce.server.gsu.edu	NULL	NULL
IU UITS	OSG_TWiki	OSG_TWiki	twiki.grid.iu.edu	NULL	NULL
FermiGrid	vomsopensciencegridorg	OSG_VOMRS	vomrs.opensciencegrid.org	NULL	NULL
FermiGrid	vomsopensciencegridorg	OSG_VOMS	voms.opensciencegrid.org	NULL	NULL
IU UITS	OSG_XD	OSG_XSEDE	osg-xsede.grid.iu.edu	NULL	NULL
OSG GOC	OSG blogs ITB	osg-blogs	blogs-itb.grid.iu.edu	NULL	NULL
UJ Research Cluster	UJ-OSG	osg-ce	osg-ce.grid.uj.ac.za	NULL	NULL
FermiGrid	OSG-ReSS	OSG-ReSS-PROD	osg-ress-1.fnal.gov	NULL	NULL
OSG-Rice	Rice	OSG-Rice	bonner-grid.rice.edu	0	NULL
OSU-CMS	osu-cms	osu-cms	cms-0.mps.ohio-state.edu	0	NULL
OU ATLAS	OU_OCHEP_SWT2	OU_OCHEP_SWT2	tier2-01.ochep.ou.edu	8.82	US-SWT2
OU ATLAS	OU_OSCER_ATLAS	OU_OSCER_ATLAS	grid1.oscer.ou.edu	14.22	US-SWT2
OU DOSAR	OU_OSCER_CONDOR	OU_OSCER_CONDOR	condor1.oscer.ou.edu	NULL	NULL
OU HEP	OUHEP_ITB	OUHEP_ITB	osgitb1.nhn.ou.edu	0	NULL
OU HEP	OUHEP_OSG	OUHEP_OSG	ouhep0.nhn.ou.edu	0	NULL
ASGC	ASGC_OSG	perfSONAR_ASGC_bandwidth	lhc-bandwidth.twgrid.org	NULL	NULL
ASGC	ASGC_OSG	perfSONAR_ASGC_latency	lhc-latency.twgrid.org	NULL	NULL
Boston University ATLAS Tier2	BU_ATLAS_Tier2	perfSONAR_BU	atlas-owamp.bu.edu	NULL	NULL
SLAC	WT2	perfSONAR_bw_SLAC	psnr-farm04.slac.stanford.edu	NULL	NULL
GridLAFEX	PerfSONAR Services	PerfSONAR_CBPF_bw	ps02.cat.cbpf.br	NULL	NULL
GridLAFEX	PerfSONAR Services	PerfSONAR_CBPF_lt	ps01.cat.cbpf.br	0	NULL
FNAL USCMS Tier1	USCMS-FNAL-WC1	perfSONAR_fnal_latency	psonar4.fnl.gov	NULL	NULL
PuNDIT	GaTech_Testbed	perfSONAR_GT_testbed_latency	psum09.cc.gt.atl.ga.us	NULL	NULL
Illinois High Energy Physics	IllinoisHEP	perfSONAR_IllinoisHEP	osgpfsr.hep.uiuc.edu	NULL	NULL
SLAC	WT2	perfSONAR_lat_SLAC	psnr-farm10.slac.stanford.edu	NULL	NULL
LUCCRE	LUCILLE	perfSONAR_LU_bandwidth	lutps.lunet.edu	NULL	NULL
LUCCRE	LUCILLE	perfSonar_LU_latency	lutps1.lunet.edu	NULL	NULL
OU ATLAS	OU_OCHEP_SWT2	perfSONAR_OU	ps1.ochep.ou.edu	NULL	NULL
OU ATLAS	OU_OCHEP_SWT2	perfSONAR_OU_bandwidth	ps2.ochep.ou.edu	NULL	NULL
OU ATLAS	OU_OCHEP_SWT2	perfSONAR_OU_latency	ps1.ochep.ou.edu	NULL	NULL
OU ATLAS	OU_OCHEP_SWT2	perfSONAR_OU_latency_test	ps3.ochep.ou.edu	NULL	NULL
SWT2 ATLAS UTA	SWT2_CPB_TEST	perfSONAR_SWT2_CPB_testbed_bandwidth	netmon2.atlas-swt2.org	NULL	NULL
SWT2 ATLAS UTA	SWT2_CPB_TEST	perfSONAR_SWT2_CPB_testbed_latency	netmon1.atlas-swt2.org	NULL	NULL
UF CMS Tier2	UFlorida-PG	perfSONAR_UF	perfsonar1.ihepa.ufl.edu	NULL	NULL
Boston University ATLAS Tier2	BU_ATLAS_Tier2	perfSONAR-NET2-bw	atlas-npt2.bu.edu	NULL	NULL
Boston University ATLAS Tier2	BU_ATLAS_Tier2	perfSONAR-NET2-lat	atlas-npt1.bu.edu	NULL	NULL
Lehigh Coral	Lehigh_coral	piranha	ie.lehigh.edu	NULL	NULL
PNNL_DC	PNNL_BelleII	PNNL_BelleII_SE	se.hep.pnnl.gov	0	NULL
PNNL_DC	PNNL_BelleII	PNNL_CE_1	osg.pnl.gov	0	NULL
PNNL_DC	PNNL_BelleII	PNNL_CE00	gridgk00.hep.pnnl.gov	0	NULL
PNNL_OSG2	PNNL_OSG2	PNNL_OSG-Misregistered	osg.pnl.gov	0	NULL
PNNL_DC	PNNL_BelleII	PNNL_SE	se.pnl.gov	0	NULL
Princeton_ICSE	Princeton_ICSE_T3_CMS	Princeton_ICSE_T3_CMS_SE	cmssw.princeton.edu	0	NULL
Brookhaven ATLAS Tier1	BNL-ATLAS	ps-development	ps-development.bnl.gov	NULL	NULL
Purdue NWICG	Purdue-Caesar	Purdue-Caesar	julius.rcac.purdue.edu	NULL	NULL
Purdue CMS	Purdue-Carter	Purdue-Carter	carter-osg.rcac.purdue.edu	16.4	T2_US_Purdue
Purdue CMS	Purdue-RCAC	Purdue-CMS-SE	srm-dcache.rcac.purdue.edu	0	T2_US_Purdue
Purdue CMS	Purdue-RCAC	Purdue-CMS-Test	cmstest1.rcac.purdue.edu	0	NULL
Purdue CMS	Purdue-Conte	Purdue-Conte	conte-osg.rcac.purdue.edu	NULL	NULL
Purdue CMS	Purdue-Hadoop	Purdue-Hadoop-CE	hadoop-osg.rcac.purdue.edu	12.37	T2_US_Purdue
Purdue CMS	Purdue-Hadoop	Purdue-Hadoop-HT-PBS-CE	cms-ce2-osg.rcac.purdue.edu	0	Purdue-Hammer
Purdue CMS	Purdue-Hadoop	Purdue-Hadoop-HTCE	cms-ce1-osg.rcac.purdue.edu	0	Purdue-Hadoop-HTCE
Purdue CMS	Purdue-Hadoop	Purdue-Hadoop-SE	srm.rcac.purdue.edu	0	T2_US_Purdue
Purdue CMS	Purdue-Hadoop	Purdue-Hadoop-SE2	srm6.rcac.purdue.edu	0	NULL
Purdue CMS	Purdue-Hadoop	Purdue-Hadoop-TestCE	cmstest1.rcac.purdue.edu	0	NULL
Purdue CMS	Purdue-Hammer	Purdue-Hammer-CE	hammer-osg.rcac.purdue.edu	12	Purdue-Hammer
Purdue CMS	Purdue-Hansen	Purdue-Hansen	hansen-osg.rcac.purdue.edu	8.68	T2_US_Purdue
Purdue CMS	Purdue-ITB	Purdue-ITB	itb.rcac.purdue.edu	0	NULL
Purdue Physics	Purdue-Physics	Purdue-Physics	grid.physics.purdue.edu	NULL	NULL
Purdue CMS	Purdue-RCAC	Purdue-RCAC	osg.rcac.purdue.edu	0	T2_US_Purdue
Purdue CMS	Purdue-Rossmann	Purdue-Rossmann	rossmann-osg.rcac.purdue.edu	11.24	T2_US_Purdue
Purdue CMS	Purdue-Steele	Purdue-Steele	lepton.rcac.purdue.edu	NULL	NULL
Nebraska-CMS	Nebraska	red-gateway1	red-gw1.unl.edu	0	T2_US_Nebraska
Nebraska-CMS	Nebraska	red-gateway2	red-gw2.unl.edu	0	T2_US_Nebraska
Nebraska-CMS	Nebraska-CMS-ITB	red-gateway3-ITB	red-gw3.unl.edu	NULL	NULL
RENCI	RENCI	RENCI-Blueberry	hpgw0.renci.org	NULL	NULL
RENCI	RENCI	RENCI-Blueridge	brgw1.renci.org	0	NULL
RENCI	RENCI-Engagement	RENCI-Engagement	belhaven-1.renci.org	0	NULL
RENCI	RENCI	RENCI-Hatteras	htgw0.renci.org	NULL	NULL
OSG-Rice	Rice	Rice	osg-gate.rice.edu	0	NULL
IU UITS	GOC_RSV_Collector	RSV_Collector	rsv.grid.iu.edu	NULL	NULL
IU UITS	GOC_RSV_Collector_ITB	RSV_Collector_ITB	rsv-itb.grid.iu.edu	NULL	NULL
rutgers-cms	rutgers-cms	rutgers-cms	ruhex-osgce.rutgers.edu	0	NULL
SAMPA	perfSONAR Services	SAMPA PerfSONAR Bandwidth	ps02.if.usp.br	0	NULL
SAMPA	perfSONAR Services	SAMPA PerfSONAR Latency	ps02.if.usp.br	0	NULL
Nebraska-Lincoln	Sandhills	Sandhills	sandhills-ce1.unl.edu	NULL	NULL
Harvard SBGRID	SBGrid-Harvard	SBGrid-GlideinWMS-Frontend	glidein.nebiogrid.org	NULL	NULL
Harvard SBGRID	SBGrid-Harvard	SBGrid-Harvard	hpc.sbgrid.org	NULL	NULL
Harvard SBGRID	SBGrid-Harvard-East	SBGrid-Harvard-East	osg-east.hms.harvard.edu	0	NULL
Harvard SBGRID	SBGrid-Harvard-Exp	SBGrid-Harvard-Exp	abitibi.sbgrid.org	NULL	NULL
Harvard SBGRID	SBGrid-Harvard-Infrastructure	SBGrid-Harvard-Security	hpc.sbgrid.org	NULL	NULL
SBU Atlas Tier3	SBU_Tier3	SBU_ATLAS_GRIDFTP1	sbahead.physics.sunysb.edu	0	NULL
SBU Atlas Tier3	SBU_Tier3	SBU_ATLAS_GRIDFTP2	sbanfs.physics.sunysb.edu	0	NULL
SBU Atlas Tier3	SBU_Tier3	SBU_ATLAS_GRIDFTP3	sbaxrd1.physics.sunysb.edu	0	NULL
SBU Atlas Tier3	SBU_Tier3	SBU_T3_Squid	sbahead.physics.sunysb.edu	NULL	NULL
OSG Security Services	OSG_SECURITY_MONITOR	SECMON_CADIST_GOC	secmon.cadist.goc.test	NULL	NULL
OSG Security Services	OSG_SECURITY_MONITOR	SECMON_CADIST_VDT	secmon.cadist.vdt.test	NULL	NULL
OSG Security Services	OSG_SECURITY_MONITOR	SECMON_CRL	secmon.crl.goc.test	NULL	NULL
OSG Security Services	OSG_SECURITY_MONITOR	SECMON_VOMS	secmon.voms.test	NULL	NULL
SLAC	WT2	SLAC	osgserv02.slac.stanford.edu	NULL	NULL
SLAC	WT2	SLAC-ATLAS-T3_GRIDFTP	osggridftp02.slac.stanford.edu	0	NULL
SMU_HPC	SMU_HPC	SMU_HPC	smuosg1.hpc.smu.edu	0	NULL
SMU_HPC	SMU_HPC	SMU_HPC_SE	smuosgse.hpc.smu.edu	0	NULL
SMU_HPC	SMU_HPC	SMU_ManeFrame_CE	mfosgce.hpc.smu.edu	0	NULL
SMU_HPC	SMU_HPC	SMU_ManeFrame_SE	mfosgse.ehpc.smu.edu	NULL	NULL
SMU Physics	SMU_PHY	SMU_PHY	smufarm.physics.smu.edu	NULL	NULL
OSG GOC	Test Grouop	Soichi_Test_Resource	test.example.org	0	NULL
SPRACE	SPRACE	SPRACE	osg-ce.sprace.org.br	13.48	BR-SP-SPRACE
SPRACE	SPRACE	SPRACE_Perfsonar_BW	perfsonar-bw.sprace.org.br	NULL	NULL
SPRACE	SPRACE	SPRACE_Perfsonar_LT	perfsonar-lt.sprace.org.br	NULL	NULL
SPRACE	SPRACE	SPRACE-OSG-RSV	spserv01.sprace.org.br	NULL	NULL
SPRACE	SPRACE	SPRACE-SE	osg-se.sprace.org.br	0	NULL
STAR Birmingham	STAR-Bham	STAR-Bham	rhilxs.ph.bham.ac.uk	NULL	NULL
STAR Brookhaven	STAR-BNL	STAR-BNL	stargrid02.rcf.bnl.gov	NULL	NULL
STAR WSU	STAR-WSU	STAR-WSU	rhic20.physics.wayne.edu	NULL	NULL
OSG GOC	stash-itb	stash-itb1	stash-itb1.grid.iu.edu	NULL	NULL
OSG GOC	stash-itb	stash-itb2	stash-itb2.grid.iu.edu	NULL	NULL
SU OrangeGrid	SU-OG	SU-OG-CE	its-condor-ce.syr.edu	NULL	NULL
SU OrangeGrid	SU-OG	SU-OG-squid	its-condor-squid1.syr.edu	NULL	NULL
SUSQU	SUSQU-ATLAS-T3	SUSQU-ATLAS-T3	hep-atlas.susqu.edu	NULL	NULL
SWT2 ATLAS UTA	SWT2_CPB	SWT2_CPB	gk01.atlas-swt2.org	8.56	US-SWT2
SWT2 ATLAS UTA	SWT2_CPB	SWT2_CPB_DEV	test02.atlas-swt2.org	0	NULL
SWT2 ATLAS UTA	SWT2_CPB	SWT2_CPB_perfSONAR_bandwidth	psuta02.atlas-swt2.org	NULL	NULL
SWT2 ATLAS UTA	SWT2_CPB	SWT2_CPB_perfSONAR_latency	psuta01.atlas-swt2.org	NULL	NULL
SWT2 ATLAS UTA	SWT2_CPB	SWT2_CPB_SE	gk03.atlas-swt2.org	0	NULL
SPRACE	SPRACE	T2_BR_SPRACE-squid1	frontier.sprace.org.br	NULL	NULL
SPRACE	SPRACE	T2_BR_SPRACE-squid2	frontier2.sprace.org.br	NULL	NULL
UF HPC	UFlorida-HPC	T2_Florida_BW	perfsonar2.ihepa.ufl.edu	NULL	NULL
UF HPC	UFlorida-HPC	T2_Florida_LT	perfsonar1.ihepa.ufl.edu	NULL	NULL
Nebraska-CMS	Nebraska	T2_Nebraska_Hadoop	dcache07.unl.edu	0	T2_US_Nebraska
Nebraska-CMS	Nebraska	T2_Nebraska_Hadoop2	red-srm1.unl.edu	0	NULL
Nebraska-CMS	Nebraska	T2_Nebraska_Hadoop3	srm.unl.edu	NULL	NULL
Nebraska-CMS	Nebraska	T2_Nebraska_OSG	red-srm1.unl.edu	NULL	NULL
Nebraska-CMS	Nebraska	T2_Nebraska_Storage	srm.unl.edu	0	T2_US_Nebraska
Purdue CMS	Purdue-RCAC	T2_Purdue_Perfsonar_Bandwidth	mannperf2.itns.purdue.edu	NULL	NULL
Purdue CMS	Purdue-RCAC	T2_Purdue_Perfsonar_Latency	mannperf.itns.purdue.edu	NULL	NULL
Nebraska-CMS	Nebraska	T2_US_Nebraska_red-squid1	red-squid1.unl.edu	NULL	NULL
Nebraska-CMS	Nebraska	T2_US_Nebraska-red-squid2	red-squid2.unl.edu	NULL	NULL
Purdue CMS	Purdue-Hadoop	T2_US_Purdue_Squid1	squid1.rcac.purdue.edu	NULL	NULL
Purdue CMS	Purdue-Hadoop	T2_US_Purdue_Squid2	squid2.rcac.purdue.edu	NULL	NULL
Purdue CMS	Purdue-Hadoop	T2_US_Purdue_Squid3	squid3.rcac.purdue.edu	NULL	NULL
Florida Tech	FLTECH	T3_US_FIT	uscms1.fltech-grid3.fit.edu	NULL	NULL
OSU-CMS	osu-cms	T3_US_OSU	cmshead.mps.ohio-state.edu	0	NULL
Princeton_ICSE	Princeton_ICSE_T3_CMS	T3_US_Princeton_ICSE	cmssw.princeton.edu	NULL	NULL
uva-cms	uva-cms-se	T3_US_UVA	osg-hep.phys.virginia.edu	NULL	NULL
TAMU Academy	TAMU_BRAZOS	TAMU_BRAZOS	hurr.tamu.edu	0	T3_TAMU_BRAZOS Accounting
TAMU Academy	TAMU_BRAZOS	TAMU_BRAZOS_CE	ce01.brazos.tamu.edu	0	NULL
TAMU Academy	TAMU_BRAZOS	TAMU_BRAZOS_GridFTP1	gw01.brazos.tamu.edu	NULL	NULL
TAMU Academy	TAMU_BRAZOS	TAMU_BRAZOS_perfSONAR_Bandwidth	psonar-bwctl.brazos.tamu.edu	NULL	NULL
TAMU Academy	TAMU_BRAZOS	TAMU_BRAZOS_perfSONAR_Latency	psonar-owamp.brazos.tamu.edu	NULL	NULL
TAMU Academy	TAMU_BRAZOS	TAMU_BRAZOS_SE	srm.brazos.tamu.edu	0	NULL
TAMU Academy	TAMU_BRAZOS	TAMU_BRAZOS_SRM	brazos-srm.tamu.edu	NULL	NULL
TAMU Mathematics	TAMU_Calclab	TAMU_Calclab	calclab-ce.math.tamu.edu	NULL	NULL
TAMU Mathematics	TAMU_Calclab	TAMU_Calclab_CE2	calclab-ce2.math.tamu.edu	NULL	NULL
TAMU Mathematics	TAMU_Calclab	TAMU_Calclab_SE	calcfs2.math.tamu.edu	NULL	NULL
IU UITS	GOC_Ticket	Ticket Exchange 1	tx1.grid.iu.edu	NULL	NULL
IU UITS	GOC_Ticket	Ticket Exchange 2	tx2.grid.iu.edu	NULL	NULL
TIGRE TTU	TTU-ANTAEUS	TTU-ANTAEUS	antaeus.hpcc.ttu.edu	0	NULL
TIGRE TTU	TTU-ANTAEUS	TTU-SIGMORGH	sigmorgh.hpcc.ttu.edu	0	NULL
TIGRE TTU	TTU-TESTWULF	TTU-TESTWULF	testwulf.hpcc.ttu.edu	0	NULL
TIGRE TTU	TTU-TINGE	TTU-TINGE	tinge.hpcc.ttu.edu	0	NULL
Tufts_ATLAS_Tier3	Tufts_ATLAS_Tier3	Tufts_ATLAS_Tier3	cobalt.uit.tufts.edu	0	US-Tufts_ATLAS_Tier3
Nebraska-Omaha	Tusker	Tusker	disabled.tusker-gw1.unl.edu	NULL	NULL
Nebraska-Omaha	Tusker	Tusker-CE1	tusker-gw1.unl.edu	0	T2_US_Nebraska
UARK ACE	UARK_ACE	UARK_ACE	ace.uark.edu	NULL	NULL
MWT2 ATLAS UC	UC_ATLAS_MWT2	UC_ATLAS_MWT2	tier2-osg.uchicago.edu	NULL	NULL
UChicago	UC_ITB	UC_ITB_CONDOR	itbv-ce-condor.mwt2.org	NULL	NULL
UChicago	UC_ITB	UC_ITB_PBS	itbv-ce-pbs.mwt2.org	NULL	NULL
